Référence;Description FR;Description ENG;Fournisseur;Date céation;Gamme;Lot/Vrac;Nombre de pièce;EAN 13;EAN 14 SPCB;EAN 14 PCB;Nomenclature;"Epaisseur
(mm)";"Longueur 
(mm)";"Poids 
(g)";"Matière lame/
haut de couvert";Chrome %;Finition;"Matière manche/
produit";"Pantone/Motif manche
N°1";"Pantone/Motif manche
N°2";"Pantone/Motif manche
N°3";"Pantone/Motif manche
N°4";"Pantone/Motif manche
N°5";"Pantone/Motif manche
N°6";Marquage;"Dimensions marquage
(mm)";"Emplacement du
marquage";Artwork;How to pack;Matière Packaging;"Poids Packaging
(g)";"Hauteur Packaging 
(cm)";"Longueur Packaging
(cm)";"Largeur Packaging
(cm)";SPCB;PCB;"Hauteur PCB
(cm)";"Longueur PCB
(cm)";"Largeur PCB
(cm)";"Volume PCB
(cmb)";"Poids PCB
(kg)"
427960;CUILLERE CAFE DIANE+GENCOD;TEA SPOON DIANE + BARCOD;WANXIN;2013-09-27;Diane;Vrac;1.0;3118224279601;0;0;82159910000.0;5;65;52;18/0;16-18;Sandblast polish;Stainless steel;Steel; /; /; /; /; /;TB COLLECTION;1,02 x 13,5;Derrière haut manche;Non;Boite blanche neutre;Carton;Aucun;Aucun;Aucun;Aucun;6.0;240.0;21.0;44.5;18.0;0.016821000000000003;0.057758333333333335
429640;LOT 3 CTX TROQUET PANACHE ANIS-TURQ-AUBERG-ORANGE EN DISPLAY;SET OF 3 KNIVES TROQUET ANIS-TURQ-AUBERG-ORANGE IN DISPLAY;HONGXING;2013-09-23;Troquet;Lot;3.0;3118224296400;13118224296407;23118224296404;82119100000.0;;;;;;;;;;;;;;;;;;;;;;;;96.0;96.0;31.0;56.0;39.5;0.06857200000000001;0.09599999999999999
429650;LOT 3 FETTES TROQUET PANACHE ANIS-TURQ-AUBERG-ORANGE EN DISP;SET OF 3 FORKS TROQUET ANIS-TURQ-AUBERG-ORANGE IN DISPLAY;HONGXING;2013-09-23;Troquet;Lot;3.0;3118224296509;13118224296506;23118224296503;82159910000.0;;;;;;;;;;;;;;;;;;;;;;;;96.0;96.0;31.0;56.0;39.5;0.06857200000000001;0.105
429660;LOT 3 CUILL TROQUET PANACHE ANIS-TURQ-AUBERG-ORANGE EN DISPL;SET OF 3 SPOONS TROQUET ANIS-TURQ-AUBERG-ORANGE IN DISPLAY;HONGXING;2013-09-23;Troquet;Lot;3.0;3118224296608;13118224296605;23118224296602;82159910000.0;;;;;;;;;;;;;;;;;;;;;;;;96.0;96.0;31.0;56.0;39.5;0.06857200000000001;0.09799999999999999
429670;LOT 3 CAFES TROQUET PANACHE ANIS-TURQ-AUBERG-ORANGE EN DISPL;SET OF 3 TEA SPOONS TROQUET ANIS-TURQ-AUBERG-ORANGE IN DISPLAY;HONGXING;2013-09-23;Troquet;Lot;3.0;3118224296707;13118224296704;23118224296701;82159910000.0;;;;;;;;;;;;;;;;;;;;;;;;96.0;96.0;27.0;41.0;22.5;0.0249075;0.075
430521;COUTEAU AMANDE BLANC+GENCOD;AMANDE TABLE KNIFE WHITE COLOUR;HONGXING;2013-10-08;Amande;Vrac;1.0;3118224305218;13118224305215;23118224305212;82119100000.0;1.8;223;47;2CR14;13; /;ABS;White; /; /; /; /; /;TB COLLECTION;2,5 x 17;Opposé dentelure;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;26.0;35.0;27.5;0.025025;0.05083333333333333
430522;COUTEAU AMANDE JAUNE+GENCOD;AMANDE TABLE KNIFE YELLOW COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305225;13118224305222;23118224305229;82119100000.0;1.8;223;47;2CR14;13; /;ABS;Yellow; /; /; /; /; /;TB COLLECTION;2,5 x 17;Opposé dentelure;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;26.0;32.5;27.5;0.0232375;0.052741666666666666
430523;COUTEAU AMANDE PRUNE+GENCOD;AMANDE TABLE KNIFE PURPLE COLOUR;HONGXING;2014-12-14;Amande;Vrac;1.0;3118224305232; ?; ?;82119100000.0;1.8;223;47;2CR14;13; /;ABS;Purple; /; /; /; /; /;TB COLLECTION;2,5 x 17;Opposé dentelure;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;26.0;32.5;27.5;0.0232375;0.052741666666666666
430524;COUTEAU AMANDE ROUGE+GENCOD;AMANDE TABLE KNIFE RED COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305249;13118224305246;23118224305243;82119100000.0;1.8;223;47;2CR14;13; /;ABS;Red; /; /; /; /; /;TB COLLECTION;2,5 x 17;Opposé dentelure;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;26.0;32.5;27.5;0.0232375;0.05608333333333334
430525;COUTEAU AMANDE BLEU+GENCOD;AMANDE TABLE KNIFE BLUE COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305256;13118224305253;23118224305250;82119100000.0;1.8;223;47;2CR14;13; /;ABS;Blue; /; /; /; /; /;TB COLLECTION;2,5 x 17;Opposé dentelure;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;26.0;37.0;25.0;0.02405;0.049
430526;COUTEAU AMANDE ANIS+GENCOD;AMANDE TABLE KNIFE GREEN COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305263;13118224305260;23118224305267;82119100000.0;1.8;223;47;2CR14;13; /;ABS;Anis green; /; /; /; /; /;TB COLLECTION;2,5 x 17;Opposé dentelure;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;26.0;32.5;27.5;0.0232375;0.049
430527;COUTEAU AMANDE NOIR+GENCOD;AMANDE TABLE KNIFE BLACK COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305270;13118224305277;23118224305274;82119100000.0;1.8;223;47;2CR14;13; /;ABS;Black; /; /; /; /; /;TB COLLECTION;2,5 x 17;Opposé dentelure;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;33.0;26.5;26.5;0.02317425;0.048
430528;COUTEAU AMANDE ORANGE+GENCOD;AMANDE TABLE KNIFE ORANGE COLOUR;HONGXING;2013-10-08;Amande;Vrac;1.0;3118224305287;13118224305284;23118224305281;82119100000.0;1.8;223;47;2CR14;13; /;ABS;Orange; /; /; /; /; /;TB COLLECTION;2,5 x 17;Opposé dentelure;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;26.0;32.5;27.5;0.0232375;0.052741666666666666
430531;FETTE AMANDE BLANC+GENCOD;AMANDE FORK WHITE COLOUR;HONGXING;2013-10-08;Amande;Vrac;1.0;3118224305317;13118224305314;23118224305311;82159910000.0;1.8;200;40;18/0;16-18; /;ABS;White; /; /; /; /; /;TB COLLECTION;2,5 X 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;36.5;28.0;24.0;0.024528000000000005;0.04516666666666667
430532;FETTE AMANDE JAUNE+GENCOD;AMANDE FORK YELLOW COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305324;13118224305321;23118224305328;;1.8;200;40;18/0;16-18; /;ABS;Yellow; /; /; /; /; /;TB COLLECTION;2,5 X 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;36.5;28.0;24.0;0.024528000000000005;0.04225
430533;FTTE AMANDE PRUNE+GENCOD;AMANDE FORK PURPLE COLOUR;HONGXING;2014-12-14;Amande;Vrac;1.0;3118224305331; ?; ?;;1.8;200;40;18/0;16-18; /;ABS;Purple; /; /; /; /; /;TB COLLECTION;2,5 X 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;36.5;28.0;24.0;0.024528000000000005;0.04225
430534;FETTE AMANDE ROUGE+GENCOD;AMANDE FORK RED COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305348;13118224305345;23118224305342;82159910000.0;1.8;200;40;18/0;16-18; /;ABS;Red; /; /; /; /; /;TB COLLECTION;2,5 X 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;36.5;28.0;24.0;0.024528000000000005;0.04410416666666667
430535;FETTE AMANDE BLEU+GENCOD;AMANDE FORK BLUE COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305355;13118224305352;23118224305359;82159910000.0;1.8;200;40;18/0;16-18; /;ABS;Blue; /; /; /; /; /;TB COLLECTION;2,5 X 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;36.5;28.0;24.0;0.024528000000000005;0.042
430536;FETTE AMANDE ANIS+GENCOD;AMANDE FORK GREEN COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305362;13118224305369;23118224305366;82159910000.0;1.8;200;40;18/0;16-18; /;ABS;Anis green; /; /; /; /; /;TB COLLECTION;2,5 X 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;37.5;28.0;24.0;0.025200000000000004;0.041
430537;FTTE AMANDE NOIR+GENCOD;AMANDE FORK BLACK COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305379;13118224305376;23118224305373;;1.8;200;40;18/0;16-18; /;ABS;Black; /; /; /; /; /;TB COLLECTION;2,5 X 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;37.5;28.0;24.0;0.025200000000000004;0.041
430538;FETTE AMANDE ORANGE+GENCOD;AMANDE FORK ORANGE COLOUR;HONGXING;2013-10-08;Amande;Vrac;1.0;3118224305386;13118224305383;23118224305380;;1.8;200;40;18/0;16-18; /;ABS;Orange; /; /; /; /; /;TB COLLECTION;2,5 X 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;36.5;28.0;24.0;0.024528000000000005;0.04410416666666667
430541;CUIL. AMANDE BLANC+GENCOD;AMANDE SPOON WHITE COLOUR;HONGXING;2013-10-08;Amande;Vrac;1.0;3118224305416;13118224305413;23118224305410;82159910000.0;1.8;200;49;18/0;16-18; /;ABS;White; /; /; /; /; /;TB COLLECTION;2,5 x 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;27.5;37.0;24.5;0.024928749999999996;0.049
430542;CUIL. AMANDE JAUNE+GENCOD;AMANDE SPOON YELLOW COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305423;13118224305420;23118224305427;82159910000.0;1.8;200;49;18/0;16-18; /;ABS;Yellow; /; /; /; /; /;TB COLLECTION;2,5 x 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;27.5;37.0;24.5;0.024928749999999996;0.053516666666666664
430543;CUIL. AMANDE PRUNE+GENCOD;AMANDE SPOON PURPLE COLOUR;;2014-12-14;Amande;Vrac;1.0;3118224305430; ?; ?;;1.8;200;49;18/0;16-18; /;ABS;Purple; /; /; /; /; /;TB COLLECTION;2,5 x 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;27.5;37.0;24.5;0.024928749999999996;0.053516666666666664
430544;CUIL. AMANDE ROUGE+GENCOD;AMANDE SPOON RED COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305447;13118224305444;23118224305441;82159910000.0;1.8;200;49;18/0;16-18; /;ABS;Red; /; /; /; /; /;TB COLLECTION;2,5 x 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;27.5;37.0;24.5;0.024928749999999996;0.050166666666666665
430545;CUIL. AMANDE BLEU+GENCOD;AMANDE SPOON BLUE COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305454;13118224305451;23118224305458;82159910000.0;1.8;200;49;18/0;16-18; /;ABS;Blue; /; /; /; /; /;TB COLLECTION;2,5 x 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;27.5;37.0;24.5;0.024928749999999996;0.050166666666666665
430546;CUIL. AMANDE ANIS+GENCOD;AMANDE SPOON GREEN COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305461;13118224305468;23118224305465;82159910000.0;1.8;200;49;18/0;16-18; /;ABS;Anis green; /; /; /; /; /;TB COLLECTION;2,5 x 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;27.5;37.0;24.5;0.024928749999999996;0.049
430547;CUIL. AMANDE NOIR+GENCOD;AMANDE SPOON BLACK COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305478;13118224305475;23118224305472;;1.8;200;49;18/0;16-18; /;ABS;Black; /; /; /; /; /;TB COLLECTION;2,5 x 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;27.5;37.0;24.5;0.024928749999999996;0.049
430548;CUILLERE AMANDE ORANGE+GENCOD;AMANDE SPOON ORANGE COLOUR;HONGXING;2013-10-08;Amande;Vrac;1.0;3118224305485;13118224305482;23118224305489;;1.8;200;49;18/0;16-18; /;ABS;Orange; /; /; /; /; /;TB COLLECTION;2,5 x 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;27.5;37.0;24.5;0.024928749999999996;0.053516666666666664
430551;CAFE AMANDE BLANC+GENCOD;AMANDE TEA SPOON WHITE COLOUR;HONGXING;2013-10-08;Amande;Vrac;1.0;3118224305515;13118224305512;23118224305519;82159910000.0;1.5;147;26;18/0;16-18; /;ABS;White; /; /; /; /; /;TB COLLECTION;2,5 x 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;30.0;25.0;18.0;0.013499999999999998;0.029533333333333335
430552;CAFE AMANDE JAUNE+GENCOD;AMANDE TEA SPOON YELLOW COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305522;13118224305529;23118224305526;82159910000.0;1.5;147;26;18/0;16-18; /;ABS;Yellow; /; /; /; /; /;TB COLLECTION;2,5 x 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;30.0;25.0;18.0;0.013499999999999998;0.02875
430553;CAFE AMANDE PRUNE+GENCOD;AMANDE TEA SPOON PURPLE COLOUR;HONGXING;2014-12-14;Amande;Vrac;1.0;?; ?; ?;;1.5;147;26;18/0;16-18; /;ABS;Purple; /; /; /; /; /;TB COLLECTION;2,5 x 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;30.0;25.0;18.0;0.013499999999999998;0.02875
430554;CAFE AMANDE ROUGE+GENCOD;AMANDE TEA SPOON RED COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305546;13118224305543;23118224305540;82159910000.0;1.5;147;26;18/0;16-18; /;ABS;Red; /; /; /; /; /;TB COLLECTION;2,5 x 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;30.0;25.0;18.0;0.013499999999999998;0.026000000000000002
430555;CAFE AMANDE BLEU+GENCOD;AMANDE TEA SPOON BLUE COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305553;13118224305550;23118224305557;82159910000.0;1.5;147;26;18/0;16-18; /;ABS;Blue; /; /; /; /; /;TB COLLECTION;2,5 x 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;30.0;25.0;18.0;0.013499999999999998;0.029533333333333335
430556;CAFE AMANDE ANIS+GENCOD;AMANDE TEA SPOON GREEN COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305560;13118224305567;23118224305564;82159910000.0;1.5;147;26;18/0;16-18; /;ABS;Anis green; /; /; /; /; /;TB COLLECTION;2,5 x 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;30.0;25.0;18.0;0.013499999999999998;0.028
430557;CAFE AMANDE NOIR+GENCOD;AMANDE TEA SPOON BLACK COLOUR;HONGXING;2013-09-23;Amande;Vrac;1.0;3118224305577;13118224305574;23118224305571;82159910000.0;1.5;147;26;18/0;16-18; /;ABS;Black; /; /; /; /; /;TB COLLECTION;2,5 x 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;30.0;25.0;18.0;0.013499999999999998;0.029533333333333335
430558;CAFE AMANDE ORANGE+GENCOD;AMANDE TEA SPOON ORANGE COLOUR;HONGXING;2013-10-08;Amande;Vrac;1.0;3118224305584;13118224305581;23118224305588;82159910000.0;1.5;147;26;18/0;16-18; /;ABS;Orange; /; /; /; /; /;TB COLLECTION;2,5 x 17;Entre tête et manche;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 12 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 pieces).;;;;;;12.0;240.0;30.0;25.0;18.0;0.013499999999999998;0.02875
430570;LAG FERMANT LAME 10CM BOIS COUL ASSORTIES;10 CM LAGUIOLE POCKET KNWOOD H;GUANGWEI;2013-09-23;Poche;Vrac;1.0;3118224305706;13118224305703;23118224305700;82119100000.0;2.5;212;85;2CR14;13; /;Wood and stainless steel bolster;Black;Natural; /; /; /; /;LAGUIOLE HERITAGE + 420;4 x 16;Côté tranchant;;each knife has to be put in blister - 6 sets has to be put in an inner box - 6 inner box in a master carton ( = 36 pieces );;;;;;6.0;36.0;36.5;32.0;27.0;0.031536;0.35600000000000004
431240;COUTEAU CURVING SATINE+GENCOD;CURVING TABLE KNIFE SATIN FINISH;NOSKI;2013-09-23;Curving;Vrac;1.0;3118224312407;0;0;82119100000.0;7.5;225;83;2CR14;13;Forged, full satin finishing;Stainless steel;Steel; /; /; /; /; /;TB COLLECTION;1,5 x 17;Côté dentelure;;;;;;;;6.0;240.0;24.5;44.5;26.0;0.0283465;0.08462499999999999
431250;FETTE CURVING SATINE+GENCOD;CURVING TABLE FORK SATIN FINISH;NOSKI;2013-09-23;Curving;Vrac;1.0;3118224312506;0;0;82159910000.0;5;197;63;18/0;16-18;Forged, full satin finishing;Stainless steel;Steel; /; /; /; /; /;TB COLLECTION;1,02 x 13,5;Entre manche et tête ;;;;;;;;6.0;240.0;24.5;44.5;26.0;0.0283465;0.071
431260;CUILLERE CURVING SATINE+GENCOD;CURVING TABLE SPOON SATIN FINISH;NOSKI;2013-09-23;Curving;Vrac;1.0;3118224312605;0;0;82159910000.0;5;196;81;18/0;16-18;Forged, full satin finishing;Stainless steel;Steel; /; /; /; /; /;TB COLLECTION;1,02 x 13,5;Entre manche et tête ;;;;;;;;6.0;240.0;20.5;43.0;28.0;0.024682;0.08499999999999999
431270;CAFE CURVING SATINE+GENCOD;CURVING TEA SPOON SATIN FINISH;NOSKI;2013-09-23;Curving;Vrac;1.0;3118224312704;0;0;82159910000.0;3.8;153;32;18/0;16-18;Forged, full satin finishing;Stainless steel;Steel; /; /; /; /; /;TB COLLECTION;1,28 x 13,50;Entre manche et tête ;;;;;;;;6.0;240.0;23.0;45.0;18.5;0.0191475;0.032
433481;CISEAU CUISINE 21.3CM BI MAT CAS;KITCHEN SCISSOR 21CM;JIT GLOBAL;2013-09-23;Accessoire;Vrac;1.0;3222473119288;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;72.0;30.0;38.0;27.0;0.03078;0.13
433491;CISEAU UNIVERSEL 20.3CM BI M CAS;UNIVERSAL SCISSOR 20 CM;JIT GLOBAL;2013-09-23;Accessoire;Vrac;1.0;3222473119318;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;96.0;35.0;32.5;26.0;0.029575;0.08695833333333335
433501;CISEAU LINGERE BI MAT CASINO;UTILITY SCISSOR 16 CM;JIT GLOBAL;2013-09-23;Accessoire;Vrac;1.0;3222473119332;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;240.0;37.0;52.0;24.0;0.046176;0.05696666666666667
433560;COUTEAU BAROQUE+GENCOD;BAROQUE DINNER KNIFE + BARCODE;SEORIM;2013-09-23;Baroque;Vrac;1.0;3118224335604;13118224335601;23118224335608;82119100000.0;15;245;;2CR14;13; /;Hollow handle 18/8;Baroque pattern; /; /; /; /; /;TB COLLECTION;1,28 x 16;Côté dentelure;;;;;;;;6.0;120.0;22.0;35.0;29.5;0.022715;0.08933333333333333
433570;FOURCHETTE BAROQUE+GENCOD;BAROQUE TABLE FORK + BARCODE;SEORIM;2013-09-23;Baroque;Vrac;1.0;3118224335703;13118224335700;23118224335707;82159910000.0;15;204.9;;Forged 18/0 or 18/8;16-18; /;Hollow handle 18/8;Baroque pattern; /; /; /; /; /;TB COLLECTION;1,28 x 16;Derrière tête;;;;;;;;6.0;120.0;20.0;34.0;25.0;0.017;0.08833333333333333
433580;CUILLERE BAROQUE+GENCOD;BAROQUE SPOON + BARCODE;SEORIM;2013-09-23;Baroque;Vrac;1.0;3118224335802;13118224335809;23118224335806;82159910000.0;15;204.9;;Forged 18/0 or 18/8;16-18; /;Hollow handle 18/8;Baroque pattern; /; /; /; /; /;TB COLLECTION;1,28 x 16;Derrière tête;;;;;;;;6.0;120.0;21.5;32.5;25.0;0.017468749999999998;0.09566666666666666
433590;CAFE BAROQUE+GENCOD;BAROQUE TEA SPOON + BARCODE;SEORIM;2013-09-23;Baroque;Vrac;1.0;3118224335901;13118224335908;23118224335905;82159910000.0;12;149.6;;Forged 18/0 or 18/8;16-18; /;Hollow handle 18/8;Baroque pattern; /; /; /; /; /;TB COLLECTION;1 x 12;Derrière tête;;;;;;;;6.0;120.0;22.0;30.0;23.0;0.015179999999999997;0.05433333333333333
433610;COUTEAU KOBE+GENCOD;KOBE TABLE KNIFE;NOSKI;2013-09-23;Kobe;Vrac;1.0;3118224336106;13118224336103;23118224336100;82119100000.0;7;218;64;Forged 2CR14;13;Mirror polishing;Stainless steel with satin part;Kobe pattern; /; /; /; /; /;TB COLLECTION;2 x 22;Opposé dentelure;;Each piece with a sticker (french description - barcode - imported by - picto - n° lot) - then 6 pieces wrapped together in silk paper and put in a neutral box with sticker (french description - barcode - quantity - n° lot written as a barcode) - then 24 boxes in a master carton (=144 pieces).;;;;;;6.0;144.0;9.5;31.5;19.0;0.005685750000000001;0.06666666666666667
